,measured,hour,dow,month,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,t_out,humidity,sim_A,sim_B,sim_C,sim_D,sim_E,predicted_physics,residual_true
2017-01-05 08:00:00,2652.77,8.0,3.0,1.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0.0,1.0,20.3,78.0,340.4476754898225,1402.9329878971744,66.77965555655015,113.00926682796572,141.7554407258576,2809.9824161581955,-157.21241615819554
2017-01-05 09:00:00,2991.58,9.0,3.0,1.0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,0.0,1.0,22.3,78.0,376.06077968995095,678.443196855953,183.90980856472206,79.25105307367647,93.73573684505061,2910.3990830254324,81.18091697456748
2017-01-05 10:00:00,3344.39,10.0,3.0,1.0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.0,1.0,23.7,74.0,2054.2960500124723,2816.145335822779,1393.1656232918363,357.1338860792958,410.0788985822894,2972.2148408662306,372.1751591337693
2017-01-05 11:00:00,3515.62,11.0,3.0,1.0,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,0.0,1.0,24.1,72.0,2034.6888381311417,2777.4649655402354,1379.2256333812147,341.14576493362347,406.5284823695547,3127.527768143041,388.09223185695873
2017-01-05 13:00:00,3619.91,13.0,3.0,1.0,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,0.0,1.0,26.1,64.0,1482.0745263867516,1880.3632881232509,1195.6851462958537,263.16402610217403,308.2541222224441,3329.4960548575114,290.4139451424885
2017-01-05 14:00:00,3593.85,14.0,3.0,1.0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0.0,1.0,25.6,68.0,1488.816381062087,2754.1510186773367,838.901254558031,332.33543309722506,406.1600482068328,3414.8364164925683,179.01358350743158
2017-01-05 15:00:00,3716.78,15.0,3.0,1.0,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,0.0,1.0,24.7,69.0,1474.3956900863395,2740.937176238061,809.0047010130673,332.08735954161506,403.8262472235503,3450.2644648742335,266.51553512576675
2017-01-05 17:00:00,3610.95,17.0,3.0,1.0,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.0,1.0,23.2,73.0,1441.4895002954142,2696.7113387879267,752.6640198252004,325.456459261505,396.1121185813902,3416.9610675553076,193.98893244469218
2017-01-05 18:00:00,3414.91,18.0,3.0,1.0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0.0,1.0,22.7,74.0,808.465650190095,1986.4854102771528,151.38955402348932,197.7075677287229,258.4525454736589,3180.7040510055317,234.20594899446814
2017-01-05 19:00:00,3283.15,19.0,3.0,1.0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0.0,1.0,22.8,73.0,808.4656501900948,1402.9329878971744,151.38955402348935,113.00926682796572,141.7554407258576,3104.8551243339457,178.2948756660544
