yr,mo,da,hr,mi,etr,etrn,ghi,dni,dhi,tcld,db,dp,rh,ps,wdir,wspd,hvis,ch,lpd,lpq
2024,1,4,18,60,0.0,0.0,0.0,0.0,0.0,5,16.9,11.9,75,1020.0,110,9.3,-9900,-9900,0.0,0.0
2024,1,4,19,60,0.0,0.0,0.0,0.0,0.0,5,16.4,11.4,78,1019.7,128,7.4,-9900,-9900,0.0,0.0
2024,1,4,20,60,0.0,0.0,0.0,0.0,0.0,5,16.0,11.0,80,1019.6,137,5.5,-9900,-9900,0.0,0.0
2024,1,4,21,60,0.0,0.0,0.0,0.0,0.0,5,15.5,10.5,82,1019.6,148,5.5,-9900,-9900,0.0,0.0
2024,1,4,22,60,0.0,0.0,0.0,0.0,0.0,5,15.1,10.1,85,1019.5,160,5.5,-9900,-9900,0.0,0.0
2024,1,4,23,60,0.0,0.0,0.0,0.0,0.0,5,15.3,10.3,83,1020.1,171,5.5,-9900,-9900,0.0,0.0
2024,1,4,24,60,0.0,0.0,0.0,0.0,0.0,5,15.5,10.5,82,1020.7,180,5.5,-9900,-9900,0.0,0.0
2024,1,5,1,60,0.0,0.0,0.0,0.0,0.0,5,15.7,10.7,80,1021.3,188,5.5,-9900,-9900,0.0,0.0
2024,1,5,2,60,0.0,0.0,0.0,0.0,0.0,5,17.5,12.5,73,1021.0,198,5.5,-9900,-9900,0.0,0.0
2024,1,5,3,60,0.0,0.0,0.0,0.0,0.0,5,19.3,14.3,67,1020.7,217,5.5,-9900,-9900,0.0,0.0
2024,1,5,4,60,0.0,0.0,0.0,0.0,0.0,5,21.2,16.2,61,1020.3,257,5.5,-9900,-9900,0.0,0.0
2024,1,5,5,60,0.0,0.0,0.0,0.0,0.0,5,21.9,16.9,57,1019.9,306,5.5,-9900,-9900,0.0,0.0
2024,1,5,6,60,0.0,0.0,0.0,0.0,0.0,5,22.3,17.3,57,1018.9,295,7.4,-9900,-9900,0.0,0.0
2024,1,5,7,60,0.0,0.0,0.0,0.0,0.0,5,22.7,17.7,57,1017.9,291,7.4,-9900,-9900,0.0,0.0
2024,1,5,8,60,0.0,0.0,0.0,0.0,0.0,5,21.9,16.9,60,1018.2,301,7.4,-9900,-9900,0.0,0.0
2024,1,5,9,60,0.0,0.0,0.0,0.0,0.0,5,21.2,16.2,64,1018.5,327,9.3,-9900,-9900,0.0,0.0
2024,1,5,10,60,0.0,0.0,0.0,0.0,0.0,5,20.4,15.4,67,1018.8,16,9.3,-9900,-9900,0.0,0.0
2024,1,5,11,60,0.0,0.0,0.0,0.0,0.0,5,19.1,14.1,75,1019.9,192,7.4,-9900,-9900,0.0,0.0
2024,1,5,12,60,0.0,0.0,0.0,0.0,0.0,5,18.7,13.7,77,1020.3,184,5.5,-9900,-9900,0.0,0.0
2024,1,5,13,60,0.0,0.0,0.0,0.0,0.0,5,18.2,13.2,79,1020.8,181,3.7,-9900,-9900,0.0,0.0
2024,1,5,14,60,0.0,0.0,0.0,0.0,0.0,5,17.8,12.8,81,1020.8,170,5.5,-9900,-9900,0.0,0.0
2024,1,5,15,60,0.0,0.0,0.0,0.0,0.0,5,17.4,12.4,83,1020.9,159,5.5,-9900,-9900,0.0,0.0
2024,1,5,16,60,0.0,0.0,0.0,0.0,0.0,5,17.0,12.0,85,1020.9,150,5.5,-9900,-9900,0.0,0.0
2024,1,5,17,60,0.0,0.0,0.0,0.0,0.0,5,16.5,11.5,89,1021.0,244,3.7,-9900,-9900,0.0,0.0
2024,1,5,18,60,0.0,0.0,0.0,0.0,0.0,5,16.0,11.0,91,1020.8,227,3.7,-9900,-9900,0.0,0.0
2024,1,5,19,60,0.0,0.0,0.0,0.0,0.0,5,15.6,10.6,93,1020.6,216,3.7,-9900,-9900,0.0,0.0
2024,1,5,20,60,0.0,0.0,0.0,0.0,0.0,5,15.3,10.3,93,1020.6,205,3.7,-9900,-9900,0.0,0.0
